idCertification,idTest,date
286,1,2020-12-05 17:57:00
287,1,2020-12-05 17:49:00
288,1,2020-12-05 17:46:00
289,1,2020-12-05 18:00:00
290,1,2020-12-05 17:59:00
291,1,2020-12-05 17:54:00
292,1,2020-12-05 17:50:00
293,1,2020-12-05 17:48:00
294,1,2020-12-05 17:44:00
295,1,2020-12-05 17:42:00
296,1,2020-12-05 17:38:00
297,1,2020-12-05 17:21:00
298,1,2020-12-05 03:22:00
299,1,2020-12-05 03:02:00
300,1,2020-11-05 15:00:00
301,1,2020-10-05 01:52:00
302,1,2020-09-05 20:12:00
303,1,2020-09-05 19:46:00
304,1,2020-09-05 19:35:00
305,1,2020-09-05 18:54:00
306,1,2020-09-05 07:24:00
307,1,2020-09-05 06:05:00
308,1,2020-09-05 04:53:00
309,1,2020-09-05 04:50:00
310,1,2020-09-05 04:34:00
311,1,2020-09-05 04:07:00
312,1,2020-09-05 03:38:00
313,1,2020-09-05 03:20:00
314,1,2020-09-05 03:29:00
315,1,2020-09-05 02:46:00
316,1,2020-09-05 02:44:00
317,1,2020-09-05 02:44:00
318,1,2020-09-05 02:47:00
319,1,2020-09-05 02:29:00
320,1,2020-09-05 01:35:00
321,1,2020-09-05 01:18:00
322,1,2020-09-05 00:13:00
323,1,2020-09-05 00:18:00
324,1,2020-08-05 23:34:00
325,1,2020-08-05 22:19:00
326,1,2020-08-05 22:04:00
327,1,2020-08-05 21:31:00
328,1,2020-08-05 21:01:00
329,1,2020-08-05 20:52:00
330,1,2020-08-05 20:30:00
331,1,2020-08-05 20:10:00
332,1,2020-08-05 18:38:00
333,1,2020-08-05 19:18:00
334,1,2020-08-05 19:49:00
335,1,2020-08-05 19:42:00
336,1,2020-08-05 19:26:00
337,1,2020-08-05 19:13:00
338,1,2020-08-05 19:04:00
339,1,2020-08-05 18:27:00
340,1,2020-08-05 18:45:00
341,1,2020-08-05 18:39:00
342,1,2020-08-05 18:02:00
343,1,2020-08-05 18:01:00
344,1,2020-08-05 17:33:00
345,1,2020-08-05 16:57:00
346,1,2020-08-05 15:54:00
347,1,2020-08-05 15:46:00
348,1,2020-08-05 15:46:00
349,1,2020-08-05 15:29:00
350,1,2020-08-05 14:57:00
351,1,2020-08-05 14:47:00
352,1,2020-08-05 14:47:00
353,1,2020-08-05 14:45:00
354,1,2020-08-05 14:40:00
355,1,2020-08-05 14:27:00
356,1,2020-08-05 13:04:00
357,1,2020-08-05 08:35:00
358,1,2020-08-05 06:45:00
359,1,2020-08-05 06:33:00
360,1,2020-08-05 06:33:00
361,1,2020-08-05 06:22:00
362,1,2020-08-05 06:19:00
363,1,2020-08-05 06:20:00
364,1,2020-08-05 05:52:00
365,1,2020-08-05 05:37:00
366,1,2020-08-05 05:22:00
367,1,2020-08-05 05:16:00
368,1,2020-08-05 05:22:00
369,1,2020-08-05 05:00:00
370,1,2020-08-05 04:14:00
371,1,2020-08-05 04:41:00
372,1,2020-08-05 04:39:00
373,1,2020-08-05 04:36:00
374,1,2020-08-05 04:34:00
375,1,2020-08-05 04:28:00
376,1,2020-08-05 04:37:00
377,1,2020-08-05 04:21:00
378,1,2020-08-05 04:15:00
379,1,2020-08-05 04:19:00
380,1,2020-08-05 04:15:00
381,1,2020-08-05 03:59:00
382,1,2020-08-05 03:49:00
383,1,2020-08-05 03:20:00
384,1,2020-08-05 03:24:00
385,1,2020-08-05 03:17:00
386,1,2020-08-05 03:13:00
387,1,2020-08-05 02:57:00
388,1,2020-08-05 03:02:00
389,1,2020-08-05 03:03:00
390,1,2020-08-05 01:59:00
391,1,2020-08-05 02:30:00
392,1,2020-08-05 02:35:00
393,1,2020-08-05 02:26:00
394,1,2020-08-05 02:09:00
395,1,2020-08-05 02:22:00
396,1,2020-08-05 02:07:00
397,1,2020-08-05 02:16:00
398,1,2020-08-05 01:37:00
399,1,2020-08-05 02:02:00
400,1,2020-08-05 01:50:00
401,1,2020-08-05 01:57:00
402,1,2020-08-05 01:56:00
403,1,2020-08-05 01:27:00
404,1,2020-08-05 01:53:00
405,1,2020-08-05 01:51:00
406,1,2020-08-05 01:49:00
407,1,2020-08-05 01:51:00
408,1,2020-08-05 01:34:00
409,1,2020-08-05 01:47:00
410,1,2020-08-05 01:01:00
411,1,2020-08-05 01:27:00
412,1,2020-08-05 01:29:00
413,1,2020-08-05 01:30:00
414,1,2020-08-05 01:27:00
415,1,2020-08-05 00:45:00
416,1,2020-08-05 01:24:00
417,1,2020-08-05 01:26:00
418,1,2020-08-05 01:24:00
419,1,2020-08-05 01:11:00
420,1,2020-08-05 01:11:00
421,1,2020-08-05 01:06:00
422,1,2020-08-05 01:10:00
423,1,2020-08-05 01:08:00
424,1,2020-08-05 01:10:00
425,1,2020-08-05 00:33:00
426,1,2020-08-05 01:01:00
427,1,2020-08-05 01:06:00
428,1,2020-08-05 01:00:00
429,1,2020-08-05 00:51:00
430,1,2020-08-05 00:55:00
431,1,2020-08-05 00:56:00
432,1,2020-08-05 00:59:00
433,1,2020-08-05 00:40:00
434,1,2020-08-05 00:47:00
435,1,2020-08-05 00:46:00
436,1,2020-08-05 00:25:00
437,1,2020-08-05 00:35:00
438,1,2020-08-05 00:26:00
439,1,2020-08-05 00:18:00
440,1,2020-08-05 00:30:00
441,1,2020-08-05 00:21:00
442,1,2020-08-05 00:16:00
443,1,2020-08-05 00:15:00
444,1,2020-08-05 00:04:00
445,1,2020-08-05 00:13:00
446,1,2020-08-05 00:14:00
447,1,2020-08-05 00:17:00
448,1,2020-08-05 00:05:00
449,1,2020-08-05 00:11:00
450,1,2020-08-05 00:07:00
451,1,2020-07-05 23:39:00
452,1,2020-07-05 23:47:00
453,1,2020-07-05 23:51:00
454,1,2020-07-05 23:49:00
455,1,2020-07-05 23:34:00
456,1,2020-07-05 23:46:00
457,1,2020-07-05 23:41:00
458,1,2020-07-05 23:41:00
459,1,2020-07-05 23:32:00
460,1,2020-07-05 23:19:00
461,1,2020-07-05 23:22:00
462,1,2020-07-05 21:44:00
463,1,2020-07-05 23:18:00
464,1,2020-07-05 23:29:00
465,1,2020-07-05 23:23:00
466,1,2020-07-05 23:13:00
467,1,2020-07-05 23:23:00
468,1,2020-07-05 23:23:00
469,1,2020-07-05 23:16:00
470,1,2020-07-05 23:19:00
471,1,2020-07-05 22:12:00
472,1,2020-07-05 23:20:00
473,1,2020-07-05 23:19:00
474,1,2020-07-05 22:55:00
475,1,2020-07-05 23:20:00
476,1,2020-07-05 23:21:00
477,1,2020-07-05 22:51:00
478,1,2020-07-05 23:17:00
479,1,2020-07-05 23:16:00
480,1,2020-07-05 23:16:00
481,1,2020-07-05 23:03:00
482,1,2020-07-05 22:49:00
483,1,2020-07-05 23:13:00
484,1,2020-07-05 23:12:00
485,1,2020-07-05 22:44:00
486,1,2020-07-05 23:07:00
487,1,2020-07-05 23:01:00
488,1,2020-07-05 23:06:00
489,1,2020-07-05 22:58:00
490,1,2020-07-05 23:00:00
491,1,2020-07-05 22:58:00
492,1,2020-07-05 22:57:00
493,1,2020-07-05 22:50:00
494,1,2020-07-05 22:37:00
495,1,2020-07-05 22:36:00
496,1,2020-07-05 22:30:00
497,1,2020-07-05 22:27:00
498,1,2020-07-05 22:27:00
499,1,2020-07-05 22:28:00
500,1,2020-07-05 22:22:00
501,1,2020-07-05 22:08:00
502,1,2020-07-05 22:12:00
503,1,2020-07-05 22:09:00
504,1,2020-07-05 22:07:00
505,1,2020-07-05 22:01:00
506,1,2020-07-05 22:08:00
507,1,2020-07-05 21:58:00
508,1,2020-07-05 22:08:00
509,1,2020-07-05 22:05:00
510,1,2020-07-05 21:56:00
511,1,2020-07-05 21:57:00
512,1,2020-07-05 21:48:00
513,1,2020-07-05 21:58:00
514,1,2020-07-05 21:58:00
515,1,2020-07-05 21:56:00
516,1,2020-07-05 21:53:00
517,1,2020-07-05 21:49:00
518,1,2020-07-05 21:15:00
519,1,2020-07-05 21:25:00
520,1,2020-07-05 21:42:00
521,1,2020-07-05 21:30:00
522,1,2020-07-05 21:42:00
523,1,2020-07-05 21:39:00
524,1,2020-07-05 21:32:00
525,1,2020-07-05 21:33:00
526,1,2020-07-05 20:49:00
527,1,2020-07-05 21:24:00
528,1,2020-07-05 21:27:00
529,1,2020-07-05 21:18:00
530,1,2020-07-05 21:28:00
531,1,2020-07-05 21:01:00
532,1,2020-07-05 21:18:00
533,1,2020-07-05 21:16:00
534,1,2020-07-05 21:03:00
535,1,2020-07-05 21:10:00
536,1,2020-07-05 21:02:00
537,1,2020-07-05 21:09:00
538,1,2020-07-05 21:03:00
539,1,2020-07-05 21:01:00
540,1,2020-07-05 20:48:00
541,1,2020-07-05 21:02:00
542,1,2020-07-05 20:50:00
543,1,2020-07-05 20:51:00
544,1,2020-07-05 20:53:00
545,1,2020-07-05 20:51:00
546,1,2020-07-05 20:54:00
547,1,2020-07-05 20:48:00
548,1,2020-07-05 20:36:00
549,1,2020-07-05 20:46:00
550,1,2020-07-05 20:41:00
551,1,2020-07-05 20:13:00
552,1,2020-07-05 20:34:00
553,1,2020-07-05 20:29:00
554,1,2020-07-05 20:34:00
555,1,2020-07-05 20:37:00
556,1,2020-07-05 20:33:00
557,1,2020-07-05 20:34:00
558,1,2020-07-05 20:26:00
559,1,2020-07-05 20:25:00
560,1,2020-07-05 20:29:00
561,1,2020-07-05 20:32:00
562,1,2020-07-05 20:33:00
563,1,2020-07-05 20:31:00
564,1,2020-07-05 20:27:00
565,1,2020-07-05 20:28:00
566,1,2020-07-05 20:18:00
567,1,2020-07-05 20:19:00
568,1,2020-07-05 20:23:00
569,1,2020-07-05 20:11:00
570,1,2020-07-05 20:15:00
571,1,2020-07-05 20:07:00
572,1,2020-07-05 20:09:00
573,1,2020-07-05 19:57:00
574,1,2020-07-05 20:04:00
575,1,2020-07-05 20:02:00
576,1,2020-07-05 20:02:00
577,1,2020-07-05 19:54:00
578,1,2020-07-05 19:31:00
579,1,2020-07-05 19:45:00
580,1,2020-07-05 19:43:00
581,1,2020-07-05 19:33:00
582,1,2020-07-05 19:30:00
583,1,2020-07-05 19:25:00
