1,1,3
1,2,4
1,3,8
1,4,11
1,5,13
1,6,16
1,7,20
1,8,24
1,9,27
1,10,29
1,11,374
1,12,376
1,13,380
2,1,3
2,2,4
2,3,8
2,4,11
2,5,13
2,6,16
2,7,21
2,8,24
2,9,27
2,10,30
2,11,374
2,12,376
2,13,380
3,1,3
3,2,4
3,3,8
3,4,11
3,5,13
3,6,16
3,7,21
3,8,22
3,9,25
3,10,29
3,11,374
3,12,376
3,13,380
4,1,3
4,2,4
4,3,8
4,4,11
4,5,13
4,6,16
4,7,21
4,8,24
4,9,27
4,10,28
4,11,374
4,12,376
4,13,380
5,1,3
5,2,4
5,3,9
5,4,11
5,5,13
5,6,16
5,7,21
5,8,22
5,9,25
5,10,29
5,11,374
5,12,376
5,13,381
6,1,3
6,2,4
6,3,8
6,4,11
6,5,13
6,6,16
6,7,21
6,8,24
6,9,27
6,10,29
6,11,374
6,12,376
6,13,380
7,1,3
7,2,4
7,3,8
7,4,11
7,5,13
7,6,16
7,7,21
7,8,22
7,9,27
7,10,29
7,11,374
7,12,376
7,13,380
8,1,3
8,2,
8,3,8
8,4,11
8,5,13
8,6,16
8,7,21
8,8,22
8,9,27
8,10,29
8,11,374
8,12,376
8,13,381
9,1,3
9,2,4
9,3,7
9,4,11
9,5,15
9,6,16
9,7,21
9,8,22
9,9,25
9,10,28
9,11,374
9,12,376
9,13,380
10,1,3
10,2,4
10,3,8
10,4,11
10,5,13
10,6,16
10,7,21
10,8,24
10,9,27
10,10,28
10,11,374
10,12,376
10,13,380
11,1,3
11,2,4
11,3,8
11,4,11
11,5,14
11,6,16
11,7,21
11,8,24
11,9,27
11,10,29
11,11,374
11,12,376
11,13,381
12,1,3
12,2,4
12,3,8
12,4,11
12,5,13
12,6,16
12,7,21
12,8,22
12,9,27
12,10,30
12,11,374
12,12,376
12,13,381
13,1,3
13,2,4
13,3,8
13,4,11
13,5,14
13,6,16
13,7,21
13,8,24
13,9,25
13,10,28
13,11,374
13,12,376
13,13,381
14,1,3
14,2,4
14,3,8
14,4,11
14,5,14
14,6,16
14,7,21
14,8,24
14,9,27
14,10,28
14,11,375
14,12,376
14,13,380
15,1,3
15,2,4
15,3,8
15,4,11
15,5,13
15,6,16
15,7,21
15,8,24
15,9,27
15,10,29
15,11,374
15,12,376
15,13,380
16,1,3
16,2,5
16,3,8
16,4,11
16,5,13
16,6,16
16,7,21
16,8,22
16,9,25
16,10,28
16,11,374
16,12,376
16,13,380
17,1,3
17,2,4
17,3,8
17,4,11
17,5,14
17,6,16
17,7,21
17,8,23
17,9,25
17,10,30
17,11,375
17,12,376
17,13,380
18,1,3
18,2,4
18,3,8
18,4,11
18,5,13
18,6,16
18,7,21
18,8,22
18,9,25
18,10,28
18,11,374
18,12,376
18,13,380
19,1,3
19,2,4
19,3,8
19,4,11
19,5,13
19,6,16
19,7,21
19,8,24
19,9,25
19,10,29
19,11,373
19,12,376
19,13,381
20,1,3
20,2,4
20,3,8
20,4,11
20,5,13
20,6,16
20,7,21
20,8,22
20,9,27
20,10,28
20,11,374
20,12,376
20,13,380
21,1,3
21,2,4
21,3,8
21,4,11
21,5,13
21,6,16
21,7,21
21,8,22
21,9,27
21,10,29
21,11,374
21,12,376
21,13,380
22,1,2
22,2,5
22,3,8
22,4,11
22,5,14
22,6,16
22,7,21
22,8,24
22,9,27
22,10,29
22,11,374
22,12,376
22,13,380
23,1,3
23,2,4
23,3,8
23,4,11
23,5,13
23,6,16
23,7,21
23,8,22
23,9,27
23,10,29
23,11,374
23,12,376
23,13,380
24,1,3
24,2,4
24,3,8
24,4,11
24,5,14
24,6,16
24,7,21
24,8,22
24,9,25
24,10,29
24,11,374
24,12,376
24,13,380
25,1,3
25,2,4
25,3,8
25,4,11
25,5,13
25,6,16
25,7,21
25,8,22
25,9,27
25,10,29
25,11,374
25,12,376
25,13,380
26,1,1
26,2,5
26,3,9
26,4,11
26,5,13
26,6,17
26,7,21
26,8,23
26,9,27
26,10,30
26,11,374
26,12,376
26,13,
27,1,3
27,2,5
27,3,8
27,4,11
27,5,13
27,6,16
27,7,21
27,8,22
27,9,25
27,10,28
27,11,374
27,12,376
27,13,380
28,1,3
28,2,4
28,3,8
28,4,11
28,5,13
28,6,16
28,7,21
28,8,24
28,9,27
28,10,29
28,11,374
28,12,376
28,13,380
29,1,3
29,2,4
29,3,8
29,4,11
29,5,13
29,6,16
29,7,21
29,8,24
29,9,27
29,10,28
29,11,374
29,12,376
29,13,380
30,1,2
30,2,4
30,3,8
30,4,11
30,5,14
30,6,16
30,7,21
30,8,24
30,9,25
30,10,30
30,11,373
30,12,
30,13,
31,1,3
31,2,4
31,3,8
31,4,11
31,5,13
31,6,16
31,7,20
31,8,22
31,9,27
31,10,29
31,11,374
31,12,376
31,13,
32,1,3
32,2,4
32,3,8
32,4,11
32,5,13
32,6,16
32,7,21
32,8,24
32,9,27
32,10,29
32,11,374
32,12,376
32,13,380
33,1,3
33,2,4
33,3,8
33,4,11
33,5,13
33,6,16
33,7,21
33,8,22
33,9,27
33,10,28
33,11,374
33,12,376
33,13,380
34,1,3
34,2,5
34,3,8
34,4,11
34,5,13
34,6,16
34,7,21
34,8,22
34,9,27
34,10,29
34,11,374
34,12,378
34,13,380
35,1,3
35,2,4
35,3,8
35,4,11
35,5,14
35,6,16
35,7,21
35,8,22
35,9,27
35,10,29
35,11,374
35,12,376
35,13,380
36,1,3
36,2,4
36,3,8
36,4,11
36,5,13
36,6,16
36,7,21
36,8,22
36,9,27
36,10,28
36,11,374
36,12,376
36,13,380
37,1,3
37,2,4
37,3,8
37,4,11
37,5,13
37,6,16
37,7,21
37,8,22
37,9,27
37,10,29
37,11,374
37,12,376
37,13,380
38,1,3
38,2,5
38,3,8
38,4,11
38,5,13
38,6,16
38,7,21
38,8,22
38,9,27
38,10,29
38,11,374
38,12,376
38,13,380
39,1,3
39,2,4
39,3,8
39,4,11
39,5,13
39,6,16
39,7,21
39,8,22
39,9,25
39,10,29
39,11,374
39,12,376
39,13,380
40,1,3
40,2,4
40,3,8
40,4,11
40,5,14
40,6,16
40,7,21
40,8,22
40,9,27
40,10,29
40,11,374
40,12,376
40,13,380
41,1,3
41,2,4
41,3,8
41,4,11
41,5,13
41,6,16
41,7,21
41,8,22
41,9,25
41,10,29
41,11,374
41,12,376
41,13,380
42,1,3
42,2,4
42,3,8
42,4,11
42,5,14
42,6,16
42,7,21
42,8,24
42,9,27
42,10,28
42,11,374
42,12,376
42,13,380
43,1,3
43,2,4
43,3,8
43,4,11
43,5,13
43,6,16
43,7,21
43,8,24
43,9,27
43,10,29
43,11,374
43,12,376
43,13,380
44,1,3
44,2,4
44,3,8
44,4,11
44,5,13
44,6,16
44,7,21
44,8,22
44,9,27
44,10,29
44,11,373
44,12,376
44,13,380
45,1,3
45,2,4
45,3,8
45,4,11
45,5,13
45,6,16
45,7,21
45,8,22
45,9,25
45,10,28
45,11,374
45,12,376
45,13,380
46,1,3
46,2,6
46,3,8
46,4,11
46,5,15
46,6,18
46,7,20
46,8,22
46,9,25
46,10,30
46,11,375
46,12,376
46,13,381
47,1,3
47,2,4
47,3,8
47,4,11
47,5,13
47,6,18
47,7,20
47,8,22
47,9,25
47,10,30
47,11,374
47,12,378
47,13,379
48,1,3
48,2,5
48,3,8
48,4,11
48,5,13
48,6,16
48,7,21
48,8,22
48,9,27
48,10,29
48,11,374
48,12,376
48,13,380
49,1,3
49,2,4
49,3,8
49,4,11
49,5,13
49,6,16
49,7,21
49,8,22
49,9,25
49,10,29
49,11,374
49,12,376
49,13,380
50,1,3
50,2,4
50,3,8
50,4,11
50,5,13
50,6,16
50,7,21
50,8,22
50,9,25
50,10,29
50,11,374
50,12,376
50,13,380
51,1,3
51,2,4
51,3,8
51,4,11
51,5,13
51,6,16
51,7,21
51,8,24
51,9,27
51,10,29
51,11,374
51,12,376
51,13,380
52,1,3
52,2,4
52,3,8
52,4,11
52,5,13
52,6,16
52,7,21
52,8,22
52,9,25
52,10,29
52,11,374
52,12,376
52,13,380
53,1,3
53,2,4
53,3,8
53,4,11
53,5,13
53,6,16
53,7,21
53,8,24
53,9,27
53,10,29
53,11,374
53,12,378
53,13,380
54,1,3
54,2,4
54,3,8
54,4,11
54,5,13
54,6,16
54,7,21
54,8,22
54,9,25
54,10,28
54,11,374
54,12,376
54,13,380
55,1,3
55,2,4
55,3,8
55,4,11
55,5,13
55,6,16
55,7,21
55,8,22
55,9,27
55,10,29
55,11,374
55,12,376
55,13,380
56,1,3
56,2,4
56,3,8
56,4,11
56,5,13
56,6,16
56,7,21
56,8,22
56,9,25
56,10,28
56,11,374
56,12,376
56,13,380
57,1,3
57,2,4
57,3,8
57,4,11
57,5,13
57,6,16
57,7,21
57,8,24
57,9,25
57,10,28
57,11,374
57,12,378
57,13,380
58,1,3
58,2,4
58,3,8
58,4,11
58,5,14
58,6,16
58,7,21
58,8,24
58,9,25
58,10,28
58,11,374
58,12,376
58,13,380
59,1,2
59,2,4
59,3,8
59,4,11
59,5,13
59,6,16
59,7,21
59,8,22
59,9,25
59,10,29
59,11,374
59,12,376
59,13,380
60,1,3
60,2,4
60,3,8
60,4,11
60,5,14
60,6,16
60,7,21
60,8,22
60,9,25
60,10,29
60,11,374
60,12,376
60,13,380
61,1,3
61,2,4
61,3,8
61,4,11
61,5,13
61,6,16
61,7,21
61,8,22
61,9,27
61,10,29
61,11,374
61,12,376
61,13,380
62,1,3
62,2,5
62,3,7
62,4,11
62,5,13
62,6,16
62,7,20
62,8,22
62,9,25
62,10,29
62,11,373
62,12,376
62,13,380
63,1,3
63,2,4
63,3,8
63,4,11
63,5,13
63,6,16
63,7,21
63,8,22
63,9,25
63,10,29
63,11,374
63,12,376
63,13,
64,1,3
64,2,4
64,3,8
64,4,11
64,5,13
64,6,16
64,7,21
64,8,22
64,9,27
64,10,29
64,11,374
64,12,376
64,13,380
65,1,3
65,2,4
